plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,plate_dr16q,mjd_dr16q,fiberid_dr16q,ra_dr16q,dec_dr16q,separation
4550,55894,212,16.29854648310163,7.114621445752041,11072,58436,540,16.29854648863852,7.11462142776517,6.770627018898327E-5
4373,55811,572,16.307770599273752,-2.015244614391237,7873,57307,111,16.30777060168353,-2.0152446118376353,1.2636326164190194E-5
4225,55455,964,16.43133881947091,0.6677402464701055,9392,58104,564,16.431338819489667,0.6677402448620311,5.789462144410474E-6
6255,56240,78,17.105817469236854,26.704988123237985,7679,57367,716,17.10581743779028,26.70498811316327,1.0743896923098411E-4
4554,56193,494,17.208159824913025,7.286782427703799,11072,58436,735,17.208159833449827,7.2867824175385065,4.762866474700013E-5
4373,55811,806,17.383078430871777,-1.9482782524149762,7875,56980,435,17.383078443546495,-1.9482782389877105,6.645430735038344E-5
4423,55889,215,17.399827777976554,5.855266412428288,8757,58428,433,17.399827768204432,5.855266403598628,4.7277125557866074E-5
4315,55503,458,17.488688403202445,1.4661874368648387,7859,57282,258,17.488688408796463,1.466187446564164,4.03054444934602E-5
4312,55511,394,17.667255787768568,3.9224650010914375,9436,58103,36,17.667255784611484,3.9224649975640347,1.7024269619749156E-5
6594,56272,796,17.99296867274819,33.681699171810784,7723,58430,153,17.992968665294256,33.68169917012918,2.313562160137792E-5
5133,55860,374,18.0990440669656,18.273293152665467,7622,56987,76,18.099044066408872,18.273293146219352,2.3283926629950855E-5
4667,55868,222,18.564402689032082,11.09377525464811,11073,58451,666,18.56440269099663,11.093775246671747,2.9541710195731234E-5
4551,55569,2,18.60038179901227,9.013589881685625,11073,58451,320,18.60038179901227,9.013589881685625,0.0
4555,56189,660,18.903537207536544,10.480589387746232,11073,58451,758,18.903537178133035,10.480589365047608,1.323305711122745E-4
7045,56577,118,19.04198766852919,-4.798488761727062,9337,57724,54,19.04198619559105,-4.798489271194846,0.005593249211620132
4353,55532,281,19.307699796333793,-2.952936627946875,7914,57331,748,19.30769979114757,-2.952936638923075,4.369256931492184E-5
4555,56189,260,19.40866465606979,8.9922149193577,11073,58451,176,19.4086646600922,8.99221492214983,1.74815141259481E-5
4315,55503,932,19.459552103886494,2.3532998098067797,7861,57281,644,19.45955208927228,2.353299785028176,1.0353955546656082E-4
5134,55868,229,19.724722778851035,20.833219256780513,7631,57279,249,19.72472277828426,20.83321925368621,1.1301535992505497E-5
5135,55862,498,19.9682745068543,19.247739284125245,7629,56988,496,19.96827446552294,19.247739264228517,1.5768329045876475E-4
4425,55864,901,19.973938636221078,7.236893246430351,11077,58433,238,19.973938652129164,7.2368932274557665,8.884681321402373E-5
7046,56568,880,20.50393629925236,-4.03675604524406,9333,58076,139,20.503936670446905,-4.036759708731802,0.013255748012578042
4556,55912,234,20.93648536201897,7.406674936316898,11076,58428,517,20.93648536147157,7.406674938066538,6.594887741867489E-6
4228,55484,100,20.993554037709032,-1.1065345860112517,7877,56898,872,20.99355403798534,-1.1065345826512523,1.2136814191320814E-5
5694,56213,468,21.053151571909552,24.942068766195835,7684,57286,671,21.05315156265044,24.942068761925523,3.39090456948304E-5
5140,55836,334,21.13121368626105,14.16053353996267,11068,58488,356,21.131213679512825,14.160533532139816,3.671473435979569E-5
4424,55532,282,21.367755840271798,4.763376940557489,9438,58126,799,21.36775584118851,4.763376941560894,4.885127591768855E-6
5140,55836,236,21.65125124284009,15.248997337414169,11059,58515,404,21.6512512365872,15.248997330585752,3.2801748344261484E-5
4553,55584,480,21.655539484996552,7.64472925410631,11076,58428,650,21.655539488096906,7.644729244371579,3.6749474135644405E-5
5136,55836,827,21.73234855317412,18.480480479823733,7629,56988,168,21.732348543604417,18.480480475080878,3.686658001230656E-5
4553,55584,574,21.881353592749974,8.325208902528013,11076,58428,703,21.8813535787113,8.325208887139603,7.462998949764877E-5
5107,55940,550,21.970179214097243,24.354151469321202,7684,57286,891,21.970179213921426,24.354151469235386,6.541644713743198E-7
4553,55584,444,22.063344480421392,6.747299854712841,11076,58428,268,22.06334447206558,6.747299845030526,4.590572266460643E-5
6265,56248,654,22.105162250614057,29.303865259242286,7683,58133,866,22.10516220440155,29.303865244836693,1.5406691371889586E-4
