plate_dr12q,mjd_dr12q,fiberid_dr12q,ra_dr12q,dec_dr12q,ra_dr16q,dec_dr16q,plate_dr16q,mjd_dr16q,fiberid_dr16q,separation
4315,55503,458,17.488688403202445,1.4661874368648387,17.488688408796463,1.466187446564164,7859,57282,258,4.03054444934602E-5
6594,56272,796,17.99296867274819,33.681699171810784,17.992968665294256,33.68169917012918,7723,58430,153,2.313562160137792E-5
5133,55860,374,18.0990440669656,18.273293152665467,18.099044066408872,18.273293146219352,7622,56987,76,2.3283926629950855E-5
5125,55863,84,18.250120640832108,20.1670961933507,18.250120639791152,20.16709618867179,7630,57006,337,1.7207472130300377E-5
4667,55868,222,18.564402689032082,11.09377525464811,18.56440269099663,11.093775246671747,11073,58451,666,2.9541710195731234E-5
4551,55569,2,18.60038179901227,9.013589881685625,18.60038179901227,9.013589881685625,11073,58451,320,0.0
4555,56189,660,18.903537207536544,10.480589387746232,18.903537178133035,10.480589365047608,11073,58451,758,1.323305711122745E-4
7045,56577,118,19.04198766852919,-4.798488761727062,19.04198619559105,-4.798489271194846,9337,57724,54,0.005593249211620132
6259,56565,984,19.05320445038456,29.370958580050626,19.053204451860797,29.370958580571966,7727,58152,456,4.997184404169454E-6
4353,55532,281,19.307699796333793,-2.952936627946875,19.30769979114757,-2.952936638923075,7914,57331,748,4.369256931492184E-5
4555,56189,260,19.40866465606979,8.9922149193577,19.4086646600922,8.99221492214983,11073,58451,176,1.74815141259481E-5
4315,55503,932,19.459552103886494,2.3532998098067797,19.45955208927228,2.353299785028176,7861,57281,644,1.0353955546656081E-4
4227,55481,950,19.697303584883826,0.7818958664394604,19.697303584900283,0.7818958650329327,9396,58101,639,5.063846392381668E-6
5134,55868,229,19.724722778851035,20.833219256780513,19.72472277828426,20.83321925368621,7631,57279,249,1.1301535992505497E-5
6597,56304,290,19.893192262127002,32.8514573914872,19.893192267894847,32.851457393023395,7725,58158,916,1.82992886310948E-5
5135,55862,498,19.9682745068543,19.247739284125245,19.96827446552294,19.247739264228517,7629,56988,496,1.5768329045876475E-4
4425,55864,901,19.973938636221078,7.236893246430351,19.973938652129164,7.2368932274557665,11077,58433,238,8.884681321402373E-5
7046,56568,880,20.50393629925236,-4.03675604524406,20.503936670446905,-4.036759708731802,9333,58076,139,0.013255748012578042
4556,55912,234,20.93648536201897,7.406674936316898,20.93648536147157,7.406674938066538,11076,58428,517,6.594887741867489E-6
4228,55484,100,20.993554037709032,-1.1065345860112517,20.99355403798534,-1.1065345826512523,7877,56898,872,1.2136814191320814E-5
5694,56213,468,21.053151571909552,24.942068766195835,21.05315156265044,24.942068761925523,7684,57286,671,3.39090456948304E-5
5140,55836,334,21.13121368626105,14.16053353996267,21.131213679512825,14.160533532139816,11068,58488,356,3.671473435979569E-5
4424,55532,282,21.367755840271798,4.763376940557489,21.36775584118851,4.763376941560894,9438,58126,799,4.885127591768855E-6
5140,55836,236,21.65125124284009,15.248997337414169,21.6512512365872,15.248997330585752,11059,58515,404,3.2801748344261484E-5
4553,55584,480,21.655539484996552,7.64472925410631,21.655539488096906,7.644729244371579,11076,58428,650,3.6749474135644405E-5
5136,55836,827,21.73234855317412,18.480480479823733,21.732348543604417,18.480480475080878,7629,56988,168,3.686658001230656E-5
4553,55584,574,21.881353592749974,8.325208902528013,21.8813535787113,8.325208887139603,11076,58428,703,7.462998949764877E-5
5107,55940,550,21.970179214097243,24.354151469321202,21.970179213921426,24.354151469235386,7684,57286,891,6.541644713743198E-7
4553,55584,444,22.063344480421392,6.747299854712841,22.06334447206558,6.747299845030526,11076,58428,268,4.590572266460643E-5
6265,56248,654,22.105162250614057,29.303865259242286,22.10516220440155,29.303865244836693,7683,58133,866,1.5406691371889586E-4
4310,55508,754,22.334127929426472,4.824147926817276,22.334127909412416,4.824147908245242,9438,58126,955,9.810577963503616E-5
6264,56223,578,22.359813113999053,27.483975529976274,22.359813078593902,27.48397551688292,7683,58133,104,1.2250485939124738E-4
5694,56213,209,22.540464245601356,23.954291511231638,22.54046422462193,23.954291500478824,7684,57286,960,7.913503581026016E-5
4351,55538,542,22.545794164304525,-1.3297227546665638,22.545794153840404,-1.3297227710761101,7846,56984,665,7.005789281546243E-5
4665,56209,82,22.55684407392198,12.55413366248978,22.556844028778187,12.554133633706098,11069,58456,722,1.8947687493488794E-4
6265,56248,288,22.704746190490766,28.017031122292014,22.70474618783021,28.017031120097517,7686,57015,517,1.1571909605266732E-5
4230,55483,694,23.301314949084464,0.03319033135136566,23.301314948700472,0.0331903268334925,9395,58113,988,1.632298314340567E-5
4422,55533,386,23.383121659779704,4.805203363378659,23.383121643961886,4.8052033486878125,9437,58130,823,7.756881518777525E-5
4230,55483,352,23.451274966842163,-0.48650088418064336,23.451274967089205,-0.4865008810278234,7847,57012,337,1.1384939280323467E-5
4422,55533,760,23.810066860708275,6.569555123430329,23.810066851773684,6.569555113043318,11071,58429,416,4.918607022038546E-5
4351,55538,156,24.02331528499441,-2.763320291814575,24.023315277643675,-2.7633203044082655,7845,56980,479,5.2479650093841196E-5
4274,55508,352,24.091037062208045,3.6294893036949123,24.091037060506835,3.6294893020624364,8759,57700,224,8.47912911577542E-6
7049,56570,624,24.1089385483926,-3.5237418722600857,24.10893802485164,-3.5237439528249492,7894,57339,780,0.007722658602935609
4274,55508,728,24.38357820259432,4.567870741203524,24.383578201165278,4.567870739634902,8759,57700,878,7.628081528942149E-6
5695,55978,750,24.413981949168544,26.170609531253472,24.413981882574262,26.17060950910466,7688,57360,508,2.2946169731163625E-4
4661,55614,154,24.64785666386655,13.434125016092693,24.64785666263299,13.434125014607472,11060,58523,128,6.873468426949976E-6
4549,55556,852,24.94035242553673,8.042873817463125,24.940352420203396,8.042873799424777,11071,58429,840,6.766368433543513E-5
4661,55614,906,24.94201588676492,14.891297891689339,24.942015876487915,14.891297885000679,11060,58523,958,4.3106879108674695E-5
4422,55533,998,25.169658989948516,6.156571381800352,25.169658985798662,6.156571376902564,8755,58138,813,2.3054491603241906E-5
4231,55444,732,25.395638513227777,0.10693346313912604,25.395638513035273,0.10693346087327284,7843,56902,617,8.18645699893349E-6
4231,55444,751,25.407981810465756,0.5981291241189437,25.407981810835853,0.5981291284244139,7843,56902,637,1.5556845095263535E-5
5695,56191,92,25.568258899742943,24.601309508499465,25.568258907467907,24.60130950552139,7688,57360,250,2.74644597039572E-5
4662,55590,257,25.588450293451444,11.29725833388671,25.58845027635914,11.29725832265833,11061,58428,143,7.262832153836962E-5
4404,55513,784,26.056340550973175,6.817988811268638,26.056340536012385,6.817988794035875,11081,58398,480,8.190604047318429E-5
4545,55567,216,26.215841913548445,9.078752372126331,26.215841901453757,9.078752363732624,11062,58509,223,5.25518225894769E-5
4350,55556,146,26.344241468274205,-2.781053345898497,26.344241466680444,-2.781053348493154,7844,56982,427,1.0958637198229715E-5
4232,55447,399,26.681034386027363,-0.07671792349761872,26.681034386030603,-0.07671792345593699,7843,56902,113,1.5050625809568547E-7
4232,55447,690,26.89667696895551,0.205833071157723,26.89667696704106,0.20583304862304233,7843,56902,966,8.141707928977681E-5
4532,55559,156,27.361674738986494,7.91775952465011,27.36167473419573,7.917759508332717,11081,58398,798,6.117598620062722E-5
4348,55559,288,27.554529382498174,-3.125463224948159,27.554529385755984,-3.1254632193199754,9325,58042,740,2.340227960973601E-5
4657,55591,584,27.805737686602754,15.09892178810635,27.805737683437997,15.098921786349514,11045,58485,595,1.268843749496398E-5
4657,55591,596,27.872551734159174,14.663242141218408,27.872551721222862,14.663242132693233,11045,58485,574,5.451395433052805E-5
6268,56245,852,28.35293916165773,27.81458994539571,28.352939131181927,27.814589935259054,10000,57346,502,1.0367170806806539E-4
4270,55511,261,28.562883302411365,3.6712575378786196,28.56288329104325,3.671257525057977,8738,57402,267,6.16297513478635E-5
5118,55830,842,28.64589105028756,18.293723530093374,28.645891019589783,18.293723514804643,7626,56934,312,1.18486088716302E-4
6270,56273,534,28.665636301617212,27.91366849845724,28.665636289326073,27.91366849494114,7691,58487,557,4.109786780479985E-5
5111,55840,728,28.689840321314705,22.179543033149006,28.6898403138847,22.179543029864746,7633,56931,942,2.744602179273071E-5
4530,55564,150,28.92840798520706,9.840623830322498,28.928407960391098,9.840623810733623,11079,58485,818,1.1278792847961614E-4
4403,55536,946,28.934571361994756,6.951368727609208,28.9345713603671,6.951368721881804,11080,58401,382,2.1423363452430124E-5
4530,55564,158,29.00533209005124,10.075149097543283,29.00533208512479,10.075149094219322,11079,58485,810,2.1168454824045703E-5
5118,55830,920,29.087188711098463,18.64176205662154,29.08718869586744,18.641762049135806,7626,56934,813,5.852820255191135E-5
5697,55944,814,29.40681980273189,25.966043269830465,29.406819782337777,25.96604326283969,10000,58514,366,7.064241009462489E-5
5110,55913,598,29.683157072694883,21.057158358727225,29.683157054231856,21.057158350235266,7632,56987,606,6.915282297371643E-5
5110,55913,644,29.914352758075438,19.973357325810113,29.91435274992307,19.973357321994644,7632,56987,380,3.0814037088123974E-5
5114,55883,632,29.98672469780695,24.426103195872475,29.986724680692987,24.42610318933943,7692,57064,410,6.082668965424342E-5
6271,56304,132,30.179563905699354,28.696511675496314,30.17956383687641,28.69651165374435,10000,58514,821,2.3100837602562787E-4
5697,55944,24,30.27945006744858,25.427826977445093,30.27945007082542,25.42782697863325,7692,57064,648,1.1782769838510585E-5
4349,55803,12,30.543105350482804,-2.6265564954894125,30.543105349409416,-2.6265564973249,7838,56958,466,7.652648734177543E-6
5110,55913,226,30.622672748546677,19.392263763335414,30.622672722260972,19.392263750703773,7632,56987,203,1.0017598983809876E-4
6270,56273,838,30.710758566811876,28.252675926962628,30.710758525050892,28.252675913438193,10000,58514,904,1.4109593854959006E-4
5698,55947,734,31.51523394888443,26.055446430855685,31.515233950273455,26.05544643132278,7659,57060,376,4.796685523433682E-6
4269,55502,378,31.5465683304933,1.6453501882196355,31.546568327948933,1.6453501838283846,7833,57286,349,1.8268555653517717E-5
4235,55451,696,31.909288904971312,0.1648126008359522,31.909288906212332,0.16481261545209336,7834,56979,517,5.280743562272866E-5
4347,55830,6,32.22222905082708,-2.671046429593624,32.22222905132651,-2.6710464311657875,7885,57336,582,5.9379127933346454E-6
4266,55486,262,32.62870459861031,3.7880849528115697,32.628704598960326,3.7880849510592935,9423,58100,344,6.4322675770980685E-6
4235,55451,138,32.638849048258294,-0.9261239817054335,32.63884904837789,-0.9261239801610596,7834,56979,336,5.57638931725408E-6
5698,55947,992,32.899890585030846,25.932483602024632,32.89989056475065,25.9324835950739,7659,57060,52,7.026402985306181E-5
7237,56662,631,33.313708645421855,-4.0649053526029935,33.31370709624349,-4.06490487163518,9322,57742,196,0.0058262462030065805
4236,55479,285,33.70308140906339,-1.1608884839210636,33.703081409681204,-1.1608884763953604,7835,56986,662,2.718363548613858E-5
4400,55509,162,34.40504818079489,4.944673563326165,34.405048151642404,4.944673536242742,8732,57418,554,1.4296421580873653E-4
4237,55478,310,35.306909345829695,-0.4472895929055577,35.3069093330067,-0.44728961639396353,7831,57016,191,9.633780664280872E-5
4262,55482,498,35.564794287503105,4.098241070575094,35.564794273038444,4.0982410544849355,8732,57418,279,7.780090244237913E-5
4262,55482,596,36.033039621924274,4.8186342454333495,36.03303960551574,4.818634230155127,8732,57418,839,8.055993802730954E-5
4238,55455,548,36.15018750410343,0.8307914023488471,36.15018750392322,0.8307914021093117,7831,57016,954,1.0790763168283426E-6
4262,55482,638,36.45183450848583,4.777094227633867,36.45183449104968,4.777094211387486,8732,57418,924,8.563580105115632E-5
4238,55455,348,36.86541223033298,-0.38088137613702344,36.86541223083487,-0.3808813701539004,7828,57039,356,2.161488849366799E-5
6780,56605,296,37.06483134672055,-0.9354453611922003,37.064831346675476,-0.935445361775549,7828,57039,333,2.1063135793502903E-6
6369,56217,78,37.10287961767141,-4.2627724358448065,37.1028796291213,-4.262772420478719,9319,58043,351,6.891833910744845E-5
6781,56599,624,38.35554436401511,0.4874551845260058,38.35554436436439,0.4874551885967194,9381,58073,498,1.4708411640807643E-5
4386,55540,862,38.90252678180945,-3.285952449906869,38.90252679054937,-3.2859524347230376,7829,57011,258,6.304463803743132E-5
3745,55234,281,38.97942756386931,-1.225503740642742,38.97942756674723,-1.2255037365694386,7829,57011,764,1.7953306921151684E-5
3745,55234,854,39.587101996825766,0.2388057040697194,39.587101996695594,0.23880570244250748,7825,57030,760,5.876675457761468E-6
4261,55503,359,39.662440031034635,1.6568140903558468,39.66244003527214,1.65681407994527,7821,57279,482,4.0461427926975E-5
3651,55247,282,40.963314435047295,-1.1445459070265536,40.963314435047295,-1.1445459070265536,7825,57030,4,0.0
4241,55450,456,41.11188213879963,-0.9111580484026641,41.111882137918386,-0.9111580496217684,7822,57041,422,5.41510766447597E-6
7053,56564,114,41.72388741781457,-4.587844661484743,41.72389122905472,-4.587843921065964,7879,57359,700,0.013933831109613212
4241,55450,666,41.79945821811151,1.0961204701344853,41.799458219385315,1.0961204833024092,7822,57041,664,4.762572614662635E-5
4242,55476,504,42.6768963609652,0.593538989501814,42.67689635766368,0.5935389812429943,7822,57041,918,3.201916077268419E-5
7054,56575,643,42.732538286420144,-4.038769578028365,42.73253623430033,-4.038772013750696,7879,57359,929,0.011454026121922617
7054,56575,642,42.80489219374983,-3.9570600736696484,42.80489096067317,-3.9570611827307696,7878,57340,504,0.005962597494645576
4341,55538,342,43.31130530363096,-2.887810629522585,43.31130530473462,-2.8878106396023466,7823,56978,265,3.6503460595881476E-5
4242,55476,236,44.0259600432142,-0.19829984387236477,44.02596003951835,-0.1982998535134659,7820,56984,270,3.7170748877284266E-5
